number,state,value,batch_size,hidden_dim,learning_rate_a,n_step,network_sync_rate,per_alpha,per_beta_init,sigma_init
157,RUNNING,,128,256,0.00032914663727252863,3,500,0.5258890347706412,0.4072041607631069,0.3790132831685881
158,PRUNED,18.19200000000003,64,256,0.0001265470544489761,3,1000,0.6691196733764782,0.40804385680341454,0.3124370031599223
159,RUNNING,,32,256,0.00032713681293842334,3,8000,0.5986463018067116,0.4429837770232337,0.4120059082003405
160,PRUNED,70.4249999999999,128,256,0.00025549951834236644,5,8000,0.6678019872280397,0.4277062626037271,0.32207932834884007
161,PRUNED,4.448999999999997,64,256,0.00033846644707442316,1,500,0.5803292134791183,0.34844373239608206,0.374212383177946
162,PRUNED,85.39299999999943,128,512,0.00093945856370778,3,8000,0.3563364254443547,0.5455651404605428,0.5640427145593168
163,PRUNED,27.147999999999993,128,256,0.0001515100907495744,3,500,0.6633213950218071,0.312051395116813,0.4004473734255163
164,RUNNING,,128,512,0.0001080566488186155,3,8000,0.32584125792701507,0.4410167133005254,0.6495591622103676
165,PRUNED,64.20999999999916,128,512,0.0008547097462058447,3,8000,0.3113151960568423,0.5392897122794253,0.6056630781761675
166,RUNNING,,128,256,0.0002979447374697762,5,500,0.590447273344169,0.351078246434312,0.3910474253285994
167,RUNNING,,128,256,0.0002220335067056014,5,500,0.6864220614999916,0.30367322847739026,0.4316494499643249
168,PRUNED,18.556000000000036,128,256,8.45618957255626e-05,5,500,0.6263356201007385,0.31247800468224907,0.38129068660412824
169,RUNNING,,128,512,8.969644157842822e-05,3,8000,0.5066099070499066,0.44920348570433505,0.5960164489146675
170,RUNNING,,128,256,0.00015979006209605224,5,500,0.6979366580273687,0.3387124652613654,0.4209499388255103
171,RUNNING,,128,256,7.645490047362546e-05,1,500,0.6495974501966835,0.3038051138657,0.380276903798115
172,RUNNING,,128,256,0.0002040720852408565,5,500,0.6907152877755868,0.31315917802101517,0.30123074919815257
173,RUNNING,,128,256,7.911174700518457e-05,5,500,0.6953847908098961,0.3514883744446279,0.380137019708038
174,RUNNING,,64,256,2.0979112379156985e-05,5,500,0.5600764708264878,0.30070010019101484,0.44427302363297316
